"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @hajeranblagg: Keeping it in-house - #BritishAirways decision to keep call centres in-house welcomed by @unitetheunion: https://t.co/JMn…",FALSE,0,NA,2018-03-28 16:01:14,FALSE,NA,"979025630938435585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UniteLE524",1,TRUE,FALSE,NA,NA
"2","Keeping it in-house - #BritishAirways decision to keep call centres in-house welcomed by @unitetheunion: https://t.co/JMn8ELhG6z",FALSE,1,NA,2018-03-28 15:59:00,FALSE,NA,"979025067114934277",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hajeranblagg",1,FALSE,FALSE,NA,NA
"3","All going off with hand luggage issues on BA flight. #noroom #britishairways #bigbags",FALSE,0,NA,2018-03-28 15:50:25,FALSE,NA,"979022906838650880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","giantoak1970",0,FALSE,FALSE,NA,NA
"4","RT @LucyAlexanderTV: @British_Airways After @British_Airways asking to speak to me at 3.30pm  today to discuss The problems we have incurre…",FALSE,0,NA,2018-03-28 15:30:38,FALSE,NA,"979017928510263297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LucyAlexanderTV",1,TRUE,FALSE,NA,NA
"5","@British_Airways After @British_Airways asking to speak to me at 3.30pm  today to discuss The problems we have incu… https://t.co/qKjxvH8m0l",FALSE,10,"British_Airways",2018-03-28 15:26:40,TRUE,"978675334206943233","979016933201924097","18332190","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LucyAlexanderTV",1,FALSE,FALSE,NA,NA
"6","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 15:24:46,FALSE,NA,"979016454896078849",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Pinkiepie_88",310,TRUE,FALSE,NA,NA
"7","Bye
.
.
#vacaciones #modeOn #vacation #holiday #holidayseason #fly #britishairways #Bye en… https://t.co/dSkj88cNSY",FALSE,2,NA,2018-03-28 15:07:00,FALSE,NA,"979011981234573317",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ram_rrpp",0,FALSE,FALSE,"-58.53583333","-34.82222222"
"8","""Although each of these companies has rigorous, specialized data requirements, Azure delivers the capabilities and… https://t.co/yQ8I9EGofM",FALSE,0,NA,2018-03-28 14:13:18,TRUE,NA,"978998468625813504",NA,"<a href=""https://missinglettr.com"" rel=""nofollow"">Missinglettr</a>","OpenRoadTech",0,FALSE,FALSE,NA,NA
"9","#BritishAirways You are such a cheap airline. You gave me the wrong seat on Flight#93 after seat resevtn, on March… https://t.co/Pbh12HTXwl",FALSE,0,NA,2018-03-28 14:09:05,TRUE,NA,"978997407437352962",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KaberiC",0,FALSE,FALSE,NA,NA
"10","@LynnJCraig @British_Airways Ouch! Boooooooo #BritishAirways",FALSE,1,"LynnJCraig",2018-03-28 14:05:39,FALSE,"978996014148390912","978996543595384832","302277165","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NamoInExile",0,FALSE,FALSE,NA,NA
"11","#BritishAirways sommersatser på London @Gatwick_Airport - https://t.co/BaysTyq20l https://t.co/2rvnD1707h",FALSE,0,NA,2018-03-28 14:03:42,FALSE,NA,"978996051548954624",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OddgeirT1",0,FALSE,FALSE,NA,NA
"12","#BritishAirways med sommersatsing på London @Gatwick_Airport - https://t.co/wBUWDNSk5g https://t.co/FODtggfKdP",FALSE,0,NA,2018-03-28 13:56:03,FALSE,NA,"978994127990874112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DFly13916913",0,FALSE,FALSE,NA,NA
"13","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 13:46:50,FALSE,NA,"978991806502330368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rachy123_s",310,TRUE,FALSE,NA,NA
"14","@British_Airways been trying to make a seat reservation for 2 weeks, every time I call up there is a different prob… https://t.co/MEaaffPHIZ",FALSE,0,"British_Airways",2018-03-28 13:36:41,TRUE,NA,"978989255274844161","18332190","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","matthewlovett",0,FALSE,FALSE,NA,NA
"15","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 13:32:14,FALSE,NA,"978988131906043904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mavis759",310,TRUE,FALSE,NA,NA
"16","Always loved the nose on the tidy little Embraer jets https://t.co/xS09e1cEXT #embraer #embraer190 #britishairways https://t.co/wUSkR9S0QA",FALSE,0,NA,2018-03-28 12:45:14,FALSE,NA,"978976306359685120",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","skygoflycom",0,FALSE,FALSE,NA,NA
"17","Shout out to @British_Airways #britishairways for a first class treatment yesterday especially Craig from flight #7… https://t.co/m6gz07i6dR",FALSE,0,NA,2018-03-28 11:41:28,TRUE,NA,"978960259103502336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","henrifun",0,FALSE,FALSE,NA,NA
"18","The Concorde! #britishairways #firstclass #firstclasstravel #businessclass #champagne… https://t.co/4QvBbmt7Ls",FALSE,0,NA,2018-03-28 10:57:46,FALSE,NA,"978949261504188416",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BjoernInAmerica",0,FALSE,FALSE,NA,NA
"19","RT @mrstevenbram: After the cancelled #BritishAirways flights our weekend away turned into a staycation birthday - few days in and back boo…",FALSE,0,NA,2018-03-28 10:54:29,FALSE,NA,"978948436488871936",NA,"<a href=""http://racheljones2017.com"" rel=""nofollow"">racheljones2017</a>","jachel1980jones",2,TRUE,FALSE,NA,NA
"20","RT @Milesintheair: A lovely thick chunk of fresh smoked Seared Tuna followed by a spicy panfried snapper &amp; some map watching! #BritishAirwa…",FALSE,0,NA,2018-03-28 10:50:36,FALSE,NA,"978947458058240001",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","skyhighdining",1,TRUE,FALSE,NA,NA
"21","RT @Milesintheair: No #BritishAirways #redeye flight is complete without an #EnglishBreakfast! It's a mixed grill of an #omelette, #bacon a…",FALSE,0,NA,2018-03-28 10:50:32,FALSE,NA,"978947442308608000",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","skyhighdining",1,TRUE,FALSE,NA,NA
